# ALMA, Llano de Chajnantor, alt. 5040m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
          0.25000  0.50000  1.00000  2.00000  3.00000  5.00000 
42.70000  0.97042  0.97007  0.96938  0.96800  0.96663  0.96387 
42.80000  0.96990  0.96955  0.96886  0.96747  0.96609  0.96333 
42.90000  0.96960  0.96925  0.96856  0.96717  0.96579  0.96301 
43.00000  0.96930  0.96895  0.96825  0.96686  0.96547  0.96269 
43.10000  0.96893  0.96858  0.96788  0.96649  0.96509  0.96230 
43.20000  0.96854  0.96819  0.96748  0.96608  0.96468  0.96188 
43.30000  0.96812  0.96777  0.96707  0.96566  0.96426  0.96145 
43.40000  0.96769  0.96734  0.96663  0.96522  0.96381  0.96100 
43.50000  0.96722  0.96687  0.96616  0.96474  0.96333  0.96051 
43.60000  0.96661  0.96625  0.96554  0.96413  0.96271  0.95988 
43.70000  0.96614  0.96578  0.96507  0.96365  0.96223  0.95938 
43.80000  0.96588  0.96552  0.96481  0.96338  0.96195  0.95910 
43.90000  0.96547  0.96511  0.96440  0.96297  0.96153  0.95868 
44.00000  0.96505  0.96469  0.96397  0.96254  0.96110  0.95823 
44.10000  0.96459  0.96423  0.96351  0.96206  0.96062  0.95775 
44.20000  0.96411  0.96374  0.96302  0.96158  0.96013  0.95725 
44.30000  0.96361  0.96325  0.96253  0.96108  0.95963  0.95673 
44.40000  0.96311  0.96274  0.96202  0.96056  0.95911  0.95621 
44.50000  0.96259  0.96222  0.96149  0.96004  0.95858  0.95566 
44.60000  0.96205  0.96169  0.96096  0.95949  0.95803  0.95511 
44.70000  0.96150  0.96114  0.96040  0.95893  0.95747  0.95454 
44.80000  0.96091  0.96054  0.95981  0.95834  0.95687  0.95393 
44.90000  0.96029  0.95992  0.95919  0.95771  0.95623  0.95328 
45.00000  0.95980  0.95943  0.95869  0.95721  0.95573  0.95277 
45.10000  0.95923  0.95886  0.95812  0.95663  0.95515  0.95218 
45.20000  0.95864  0.95826  0.95752  0.95603  0.95454  0.95157 
45.30000  0.95802  0.95765  0.95690  0.95541  0.95391  0.95093 
45.40000  0.95740  0.95702  0.95627  0.95477  0.95327  0.95028 
45.50000  0.95675  0.95638  0.95562  0.95412  0.95262  0.94962 
